
Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
SuaveTheDon		 -XO-	 181	[9:463:4]	 27.06.2014	 On	
varus		 Imperator	 333	[3:250:8]	 27.06.2014	 On	
Blesur		 Probezeit	 391	[2:105:8]	 04.07.2014	 On	
Gajeel		 Probezeit	 409	[2:100:5]	 05.07.2014	 On	
ARMAGEDON		 Imperator	 428	[1:345:6]	 27.06.2014	 Off	
reb0RN		 Imperator	 466	[8:129:9]	 27.06.2014	 Off	
luckybone		 Probezeit	 489	[1:335:4]	 08.07.2014	 Off	
blindi		 Probezeit	 512	[1:363:6]	 03.07.2014	 Off	
Killsort		 Probezeit	 514	[1:82:12]	 02.07.2014	 Off	
Steveboo		 Probezeit	 549	[2:373:4]	 01.07.2014	 On	
g4f		 Imperator	 619	[1:272:4]	 27.06.2014	 Off	
smokingz		 Imperator	 646	[1:376:4]	 27.06.2014	 Off	
Philanthrop		 Probezeit	 763	[1:363:4]	 03.07.2014	 Off	
Wrong Destiny		 Imperator	 808	[1:50:6]	 28.06.2014	 36 Min.	
blacklord999		 Imperator	 899	[2:20:10]	 27.06.2014	 Off	
Trykonosis		 Probezeit	 960	[1:324:10]	 06.07.2014	 On	
Starchild		 Imperator	 966	[1:28:7]	 27.06.2014	 Off	
KrueMelChen		 Imperator	 1176	[2:23:4]	 27.06.2014	 Off	
Zylon		 Probezeit	 1475	[3:113:4]	 02.07.2014	 On	


Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
dywk		 Imperator	 0	[8:130:12]	 27.06.2014	 Off	
W4R_MaChINE		 Gründer	 77	[1:116:4]	 27.06.2014	 On	
baal the dark		 Imperator	 78	[2:31:6]	 27.06.2014	 Off	
Mursana		 Imperator	 88	[1:222:6]	 27.06.2014	 25 Min.	
trendsetter		 Probezeit	 115	[3:114:6]	 01.07.2014	 On	
pArmEsAnEXpErtE		 Imperator	 143	[1:421:9]	 27.06.2014	 On	
SuaveTheDon		 -XO-	 160	[9:463:4]	 27.06.2014	 Off	
varus		 Imperator	 328	[3:250:8]	 27.06.2014	 On	
Blesur		 Probezeit	 350	[2:105:8]	 04.07.2014	 On	
luckybone		 Probezeit	 360	[1:335:4]	 08.07.2014	 On	
Gajeel		 Probezeit	 382	[2:100:5]	 05.07.2014	 Off	
ARMAGEDON		 Imperator	 431	[1:345:6]	 27.06.2014	 16 Min.	
Steveboo		 Probezeit	 433	[2:373:4]	 01.07.2014	 On	
reb0RN		 Imperator	 446	[8:129:9]	 27.06.2014	 34 Min.	
blindi		 Probezeit	 470	[1:363:6]	 03.07.2014	 Off	
Killsort		 Probezeit	 535	[1:82:12]	 02.07.2014	 Off	
smokingz		 Imperator	 601	[1:376:4]	 27.06.2014	 Off	
g4f		 Imperator	 632	[1:272:4]	 27.06.2014	 Off	
Philanthrop		 Probezeit	 719	[1:363:4]	 03.07.2014	 On	
Wrong Destiny		 Imperator	 806	[1:50:6]	 28.06.2014	 31 Min.	
Trykonosis		 Probezeit	 883	[1:324:10]	 06.07.2014	 36 Min.	
Starchild		 Imperator	 888	[1:28:7]	 27.06.2014	 45 Min.	
blacklord999		 Imperator	 1007	[2:20:10]	 27.06.2014	 1t	
KrueMelChen		 Imperator	 1163	[2:23:4]	 27.06.2014	 17 Min.	
